ID,Seguidores,Siguiendo,Favoritos Cuenta
ispedros,17,14,6
Silviaamorcito,1152,1915,4253
Olio_Fino,341,172,144
ohdelicatessen,886,696,988
agirregoia,55,121,5
lolarubialesr,2604,5001,2504
pamatarse,46,163,86
Emmi_GC,2522,1039,6693
LuciaNBcz,884,1410,3919
dastatu,2158,1420,84
Enervitalia,127,204,21
HCondestable,378,147,36
GENEHTIK_EN,1997,1356,2794
Olivarama,4984,1083,128
cristihara,3704,5000,39337
maribelton,543,608,506
JPHURTADO,235,601,24
ZaidaSemprun,279,404,1133
SupremoAOVE,1927,867,4640
MariemmaVO,302,625,1309
maleta_mundi,327,1015,85
andaluza34,316,128,2159
CTAEX_CIT,1483,499,339
AnaPerezLuna,5269,5086,11069
cmartinizkierdo,1915,1879,16172
gastrosumiller,1086,1457,538
felixmartinez44,63,42,10
jabalconymoline,149,155,5
ContratameYGana,2096,1422,6589
saguirresoto,268,300,193
enfsegovia20,282,67,2
israelbetico1,52,154,19
joaquinmorillo,364,483,314
egidiorodriguez,4477,1043,362
Coronadeolivo,2535,934,6714
olivaryaceite,2061,644,1085
Joconlopez,20,72,2
haciendaqueiles,478,241,72
RinconDeBaroja,22,33,0
CarmenOrtiz57,1027,271,336
ChemalpezPadill,28,54,16
duqqueza,514,677,4849
AlbSanroman,2141,3246,11486
juanmolinamart,861,1068,1735
evcata,1959,1591,1347
TerraOleum,745,193,144
aceitespadilla,1815,313,26
karalom_com,2354,2255,43721
PrakorAgro,3364,1973,429
valenciafruits,5584,2947,1383
cduerto,5393,1308,8128
achajim,2564,2537,903
CasaAlbaGourmet,312,102,380
igarciasaura,165,295,14
saluspot,4215,887,2054
OtaloraBio,35,72,0
Jaencoop_Grupo,507,206,328
tuccioliva,84,53,225
juan_revenga,23801,1750,29412
H_Delicatessen,740,269,43
1973MERCI,31,91,431
priordei,84,80,40
FERIASJAEN,3593,1547,1228
Luskyortega,58,51,25
Innoliva,582,422,235
remigiomorillor,230,237,284
ANTONIACUE,1673,1674,17859
javidelatorre71,1725,2082,21113
cmorillor,356,369,885
JaenJunta,2665,51,15
Ynsadiet,1570,1182,1028
pazopegullal,403,492,760
Expoliva_2017,311,36,4
AgriculturAnd,2648,1058,0
LachozadeBambu,134,292,1837
uncear_org,123,611,92
Olivarero,8535,1449,4636
JoseRuizdillo,393,220,115
HeraldoGastro,3997,420,320
ASM_Jaen,139,215,64
CasasdeHualdo,1228,1362,1000
veroilcaps,426,1162,122
MadridCalidad,1871,840,4521
aytoloradelrio,4871,5360,804
acguadalimar,2067,914,86
agroisasl,103,172,137
CortijoelPuerto,347,424,385
Glass_Pack,623,1729,241
DavidGorgues,364,434,114
iloveaceite,7663,1607,2796
chris_obasa,100,277,846
GrupoTorrent,399,746,172
antoniobeneyto,351,510,2769
MonicaPrats3,38,52,377
La_Pontezuela,649,855,1181
P_Vallegarcia,337,331,463
scasanjuan,123,168,1
AytoManchaReal,1280,41,170
WorldOliveOil,3163,862,734
LaMiradaDulce,3101,2885,3845
EsporadiCom,124,811,95
CMEuropaSL,1032,846,754
ConsHealthSpain,42,125,102
BegoaBernal,1328,751,315
beamac93,1526,1286,1589
TodoTomate,138,220,67
AgroExtremadura,447,54,0
JavierImpelte,300,595,641
rosadelachica,14,15,188
Miguelcharros,39,54,10283
albertomarcilla,122,283,16
cocinasenlinea,3817,2908,22127
alfonsoleologo,805,794,391
sommelier_olive,222,119,115
berto_vidal,969,4879,468
AmparoAndaluz_,11,88,7
ejlazar,45920,32502,273287
Kloutstanding,3233,2811,13440
Asiespalencia,804,491,6829
Gastroandalusi,5372,980,6311
montserratgodoy,632,1594,2238
CasimiroFernnd2,71,1341,522
Planeta_Gastro,1017,290,1014
evatorremocha1,510,1671,26
DOVirgenExtra,2750,946,1435
XabierGutierrez,5437,1697,2865
bocaginho7890,17,25,139
aceiteclaramunt,900,375,468
TintaFinaUbeda,71,60,19
lou_lourdes,167,240,399
Anaortegav1968,696,671,7144
grupo_palmetto,15,163,3
asociacioncult5,82,133,811
HilalHnos,12,38,20
supermarmito,116,109,5152
MDSCAlimentaria,641,2171,763
hubosa1,227,473,403
Clmnt_Talavera,1908,1829,138
epcomunicacion,5221,1923,2676
evooleum,518,436,53
F_Globalcaja_CU,181,90,598
mariela_mvm0675,24,64,95
asem_martos,543,494,509
pilar_viso,519,368,15237
jjaviermeana,182,188,191
angelesaljama,3625,3559,29484
ZapatosdetuBoda,17643,17062,85666
Grupo_Triade,37,80,14
CanCompanyoCat,1442,238,2
IakiMolina3,260,1011,211
RvstaTodoJaen,652,453,182
vero_ferndz,516,774,1391
AceiteMaquiz,93,133,540
JDavidOtero,154,167,404
SieteAgromarket,241,292,65
JesusGarridoO,1205,1271,2113
pacoalamobailen,8,20,10
Ainhoarteta,8140,428,3963
TucciMartos,4,23,3
salaalamobailen,18,42,34
manuelfdezjaen,2164,1961,1033
Bravoleum_HPalo,1281,945,826
GourmetfeBlanco,259,554,473
tahonasalamanca,1164,567,57
Tobillos10,343,295,400
RestEnlaParra,312,240,547
picualia,1607,947,1150
rrgaioso,377,845,1105
MarcosDhomin,1121,717,2789
jvalentinao,62,138,746
SomosGlobalcaja,1331,767,2399
AcozarC,47,176,251
monirocampeona,2555,888,3340
ComunicacActiva,842,268,346
AsocFeriasEsp,434,521,170
AreaFSmlg,53,251,261
crisprincesita7,452,1794,4207
EpicureaGT,649,597,1765
ROCIODELRIO1,162,186,700
migueldmdmAOVE,266,201,1471
angelmolina86,565,488,153
torrevequia,877,1950,46
AceiteMelgarejo,866,543,607
Doloreslevymont,712,449,36123
recesivo_julian,117,346,2407
BacusTravelTour,986,1279,932
HortaDObradoiro,1747,1457,739
ingnia_,52,144,34
69Eduardjb,179,240,28
PekadosGourmet,1847,1220,43
josancru,31150,6421,9725
OleayOle,933,571,2445
Gourmet_Jaen,307,139,34
Dgpeinado,379,432,1094
jpereira1957,311,804,109
mercacei,4618,877,60
GabinMultimedia,705,1404,1618
MaginaSurInfo,1987,1979,1053
apadrinaTuOlivo,2556,2948,6632
DOSierraMagina,3525,993,8291
FirthFc,64,126,328
TasquiEnfrente,2680,1018,2849
timdekir,9738,5323,16245
irenegonser,186,291,3549
RafaelaMarmol,735,1117,1156
rosalecina,781,1385,637
DiputacionES,559,719,0
dipucordoba,16441,882,5158
lacasademarchi,4317,2891,40577
IberOleum,626,874,275
comerciallerma,643,1179,1186
AOVEJaen,2320,383,1865
angeltardon,188,95,443
ACES_supers,2591,2353,1179
segurosrga,983,281,2433
AnaMR_olive,33,72,2
RafaRomantuit,878,968,548
IFEexhibition,7333,2619,1342
piluki33,319,342,2045
Matarromera,20612,11003,21717
linagonzalezmor,5899,3801,27291
MiguelAruizG,299,391,515
maquijar,576,551,42
BeaBurBur,180,313,1481
HardwareINFOfr,51,35,112
oliaesa,106,241,44
Grand_Class,390,1264,123
Finca_La_Jaraba,258,405,76
Decoraire,5847,3651,48218
capricciplata,5875,4455,16411
RosaRios73,191,176,31
Yacolchones,4391,4219,35257
supcseguro,4982,4426,45004
aceitesandua,251,110,320
psanchezluengo,4271,1597,25748
EnologicaSm,63,104,65
toxicosmos76,721,1270,3598
eugeherrerita,307,625,5186
ruralbuytron,1504,1562,2246
lesvoltes34sbd,1188,1986,57
TheWhiskyKiwi,3207,3315,36457
MMWinesUK,956,1323,8342
MontillaMoriles,3986,838,2138
Alvillegasb,1097,1082,2327
arranzgastrocul,1411,3365,224
Cultura_CdR,155,690,382
HonestHumanity,1994,2184,1036
jlcaravaca,1012,2466,2610
blog4mejores,9441,1239,813
OlivaSomm,141,140,121
luarnaluna,54,162,355
LaAlqueria_aove,1594,222,73
Flow_Cooking,1985,2282,7929
1001zapatos,2868,671,17842
karpinsito,182,461,499
LC_Valdivia,376,565,746
TPartearroyo,97,166,152
jhonlandox,120,366,49
ollibucairam,96,170,773
a8a10ed8b4bc45a,6,64,58
sergiocb78,83,356,145
comiendospain,88,482,357
RVinils,1016,1984,3887
Lolacebolla,2331,1339,50315
LuxurySpainTrav,1372,2011,2464
amimaye4,23,47,58
beapenaparra,618,883,4279
TipeSoft,1345,782,56
Plementos,1165,886,12554
chary_serrano,7069,3866,26892
gabbysweetStyle,1316,715,16192
HuelvaBN,8931,600,216
raolqu,1048,631,1527
LuciaCuevasM,803,332,5191
Teresaromeromo1,96,147,681
Amigos_ppBaeza,1490,1347,4465
InformaticoJaen,789,1363,10
ClubAceitalia,101,241,1
caaecert,179,48,39
ecoagroliberal,67,61,104
flosdo,81,261,178
jose_er_cartero,115,225,65
mhartham,39,58,894
citoliva,6237,1387,3867
El_Olivar_es,487,84,70
massagecastillo,6,1,1
mariajimenezlu2,150,311,12394
unolivo,64,90,25
Albondon2011,418,529,324
mnavascuesa,367,576,279
FalconGissele,588,1011,66
origenoliva,217,588,65
AnaBGonzlezPino,1547,818,10271
Marca_Madrid_,8176,8981,12
GoldGourmet,4532,2477,1953
teteguzmangarc1,562,1018,2905
GroupeCarsoEs,82,578,85
iserrab,123,222,114
JavierParradol,721,632,30337
TobeOnlineC,567,788,1204
aceitunaslopez,86,113,5
ASAJASEVILLA,3123,523,3941
AntonioMS1968,224,177,1207
olissole,167,118,1070
aoveAgura,381,343,245
ruelolita,2316,861,23828
THETOWERMARKET,643,234,360
asajajaen,3552,810,958
agrofogones,2968,4697,12239
SolanoLuisa,2509,3316,20279
SpainInRussia,1395,775,18628
aceiteraabuela,56,69,139
Taverna_11,63,313,540
tellusmagna,423,657,292
aoveheredad,127,334,41
mavitrapos,5561,1123,29496
Badisamor,2119,3007,41141
Criscrash1,4670,2783,27666
S_Molina_,530,601,810
LydiaECorral,746,900,5564
Nacho_Sandoval,6456,3398,23144
DomingoJRuiz,116,134,273
gines_mena,2484,2149,5589
OleoturismoAnd,675,1001,924
evmum,747,406,7276
escologico,1741,2997,40993
PabloGonzalez08,494,588,162
vilar_hernandez,539,417,1312
alexxanderlin,4346,3813,24918
montseibars6,1547,349,148252
MCIAlbaceteUCLM,307,1178,168
elipsegourmet,47,139,61
ConAdeAceites,171,550,69
COLOQUIOSTV,9693,4503,58
lacocinadegibe,11531,1372,120
OliSolivellas,799,426,182
estelamelcon,1411,1748,12477
Trucossaludcase,2563,2086,3761
seralgalvez,1253,1996,30605
AceitesOlivaES,29700,1772,3024
CFerney03,113,165,153
AnchaCLM,1680,995,1043
AOVESourHot,1437,826,1769
jaenturismo,5652,131,1926
agromiron,1013,1524,343
el_tranco,404,630,984
retailactual,1907,1478,983
javiersf78,75,101,217
info_horeca,2464,1498,471
ferpemi,349,362,193
clubsolavieya,416,589,1828
VICENTEPELUQUER,888,540,5230
juanda_arguera,73,526,3181
esecarballo,229,106,4311
Directo_Olivar,1530,482,719
_prysma,261,215,311
ElBuenComerACE,231,2344,1356
IsabeldelaVill2,47,49,257
fernandodelaca2,169,425,731
LaAguja_es,2096,1925,1257
josegcparty,11558,10664,11657
ENAC_acredita,1704,482,942
apuntesdemoda,419,127,2323
AldonzaGourmet,386,699,125
